,Symbol,FullName,sf_name,customer_code,source
0,000001,平安银行,平安银行股份有限公司,b'MDEwMzEyODAwMw==',1
1,000001,平安银行,平安银行股份有限公司,b'NzUyMjE0NzI1NQ==',1
2,000001,平安银行,平安银行股份有限公司,b'NzU3MzkzMjMwMw==',1
3,000001,平安银行,平安银行股份有限公司,b'NzYwMzY1NzQxMw==',1
4,000001,平安银行,平安银行股份有限公司,b'MDIxMDE0NzM5MA==',1
5,000001,平安银行,平安银行股份有限公司,b'NzU2MDEwOTA3MA==',1
6,000001,平安银行,平安银行股份有限公司,b'NzU1MDExMzgzNw==',1
7,000001,平安银行,平安银行股份有限公司,b'NzU1MzQxNzkyNQ==',1
8,000001,平安银行,平安银行股份有限公司,b'MDIwNzMzODE5OA==',1
9,000001,平安银行,平安银行股份有限公司,b'NzU1MDIzMjIzNg==',1
10,000001,平安银行,平安银行股份有限公司,b'NzU1NDA1NjkzMw==',1
11,000001,平安银行,平安银行股份有限公司,b'MDIxMDg4MDc5MQ==',1
12,000001,平安银行,平安银行股份有限公司,b'NzU1MDIxMDY3OQ==',1
13,000001,平安银行,平安银行股份有限公司,b'NzU1ODE1NTA1MQ==',1
14,000001,平安银行,平安银行股份有限公司,b'NzU1MDA2NDAxOQ==',1
15,000001,平安银行,平安银行股份有限公司,b'NzU1MDQ4MjQ4OA==',1
16,000001,平安银行,平安银行股份有限公司,b'NzU1NTU5MjE0Ng==',1
17,000001,平安银行,平安银行股份有限公司,b'MDIyMzI5NzgwMw==',1
18,000001,平安银行,平安银行股份有限公司,b'NDU0MDE4NzIwMw==',1
19,000001,平安银行,平安银行股份有限公司,b'NTc3NDIxMzYwMQ==',1
20,000001,平安银行,平安银行股份有限公司,b'NzU1MDExMjY4NA==',1
21,000001,平安银行,平安银行股份有限公司,b'MDI4MjY1NDA0OQ==',1
22,000001,平安银行,平安银行股份有限公司,b'NDExMjI2MTc4Mw==',1
27,000007,全新好,深圳市全新好股份有限公司,b'NzU1MDAxNzAzNA==',1
29,000009,中国宝安,中国宝安集团股份有限公司,b'NzU1MjAyMTcwOA==',1
32,000012,南玻A,中国南玻集团股份有限公司,b'NzU1NTgwMTc1OQ==',1
34,000016,深康佳A,安微开开视界电子商务有限公司,b'MDEwMDEwMjU5NA==',1
35,000016,深康佳A,安微开开视界电子商务有限公司,b'MDI4Njc3NTg3Ng==',1
36,000016,深康佳A,康佳集团股份有限公司,b'NTUwMDI1MDYxNw==',1
37,000016,深康佳A,康佳集团股份有限公司,b'NzY5MDAzMTAwNA==',1
38,000016,深康佳A,康佳集团股份有限公司,b'NzY5MDAxNDUzNg==',1
39,000016,深康佳A,康佳集团股份有限公司,b'NTM5MTgzNjcyNg==',1
42,000019,深深宝A,深圳市深宝实业股份有限公司,b'NzU1MDA3OTExNw==',1
45,000022,深赤湾A,招商局港口集团股份有限公司,b'NzU1MDAzOTE1OA==',1
46,000022,深赤湾A,招商局港口集团股份有限公司,b'NzU1MDAzNzQyNg==',1
48,000026,飞亚达A,飞亚达（集团）股份有限公司,b'NzU1MDAyNDA0NA==',1
49,000026,飞亚达A,飞亚达(集团)股份有限公司,b'NzU1MDA2MTU3NA==',1
51,000028,国药一致,国药集团一致药业股份有限公司,b'NzU1MDAxOTA0OA==',1
54,000031,中粮地产,中粮地产(集团)股份有限公司,b'MDEwMDEzMzAxNg==',1
55,000032,深桑达A,深圳市桑达实业股份有限公司,b'NzU1MDEwMDYzOQ==',1
58,000035,中国天楹,中国天楹股份有限公司,b'NTEzMjgwNDg4Nw==',1
62,000039,中集集团,中集现代物流发展有限公司,b'NzU1MDAxNDk5OA==',1
63,000039,中集集团,中集集团财务有限公司,b'NzU1MDAxNDk4OQ==',1
64,000039,中集集团,中国国际海运集装箱(集团)股份有限公司,b'NzU1MDAxMzk0NQ==',1
65,000039,中集集团,中集安瑞科投资控股(深圳)有限公司,b'NzU1MDAxNDk1OA==',1
66,000039,中集集团,深圳中集天达空港设备有限公司,b'NzU1MDAxNDk4Mg==',1
67,000039,中集集团,中集多式联运发展有限公司,b'NzU1MDAxNDk3Ng==',1
68,000039,中集集团,深圳中集专用车有限公司,b'NzU1MDAxNDk3MA==',1
69,000039,中集集团,中集管理培训(深圳)有限公司,b'NzU1MDAxNDk2Mw==',1
70,000039,中集集团,中集融资租赁有限公司,b'NzU1MDAxNDk4NQ==',1
71,000039,中集集团,中集海洋工程有限公司,b'NzU1MDAxNDk2OQ==',1
72,000039,中集集团,深圳南方中集物流有限公司,b'NzU1MDAxNDk4OA==',1
73,000040,东旭蓝天,东旭蓝天新能源股份有限公司,b'NzU1MDA1ODgyMg==',1
74,000040,东旭蓝天,东旭蓝天新能源股份有限公司,b'NzU1MDA1ODc5NA==',1
76,000043,中航地产,中航善达股份有限公司,b'NzU1MTUzNjU0Mw==',1
77,000043,中航地产,中航善达股份有限公司,b'NzU1MDA3Njg4Nw==',1
81,000050,深天马A,天马微电子股份有限公司,b'NzU1MDA3MjkxMA==',1
82,000050,深天马A,天马微电子股份有限公司,b'NzU1NDI4Mjc3OQ==',1
83,000050,深天马A,天马微电子股份有限公司,b'MDI3NjY4ODAxOA==',1
84,000050,深天马A,上海中航光电子有限公司,b'MDIxNTExNzM1MA==',1
85,000055,方大集团,方大集团股份有限公司,b'NzU1MDA1NjkzNA==',1
88,000059,华锦股份,北方华锦化学工业股份有限公司,b'NDI3MDM3ODY1Mg==',1
89,000060,中金岭南,深圳市中金岭南有色金属股份有限公司,b'NzUxMDM4NjE2NA==',1
90,000061,农产品,深圳市农产品集团股份有限公司,b'NzU1NTA1NjMyMQ==',1
91,000062,深圳华强,深圳华强实业股份有限公司,b'NzU1MDAxODU3Mg==',1
92,000063,中兴通讯,中兴通讯股份有限公司,b'MDIxMDM3MjUyNQ==',1
93,000063,中兴通讯,中兴通讯股份有限公司,b'MDI0MjE5ODQ2NQ==',1
94,000063,中兴通讯,中兴通讯股份有限公司,b'MDI1MjA3MDU4OA==',1
95,000063,中兴通讯,中兴通讯股份有限公司,b'MDI1MzgwODk0Ng==',1
96,000063,中兴通讯,中兴通讯股份有限公司,b'MzExMzY4Mzc5NA==',1
97,000063,中兴通讯,中兴通讯股份有限公司长春办事处,b'NDMxMjY4OTg3Ng==',1
98,000063,中兴通讯,中兴通讯股份有限公司,b'MDI5MTk3ODY1Mw==',1
99,000063,中兴通讯,中兴通讯股份有限公司,b'NTcxNzA5MjM1Nw==',1
100,000063,中兴通讯,中兴通讯股份有限公司长春办事处,b'NDMxMjY4OTkwMQ==',1
101,000063,中兴通讯,中兴通讯股份有限公司,b'MDI0NDQ2MjcwMQ==',1
102,000063,中兴通讯,中兴通讯股份有限公司,b'MDI1MTk5MjU4OQ==',1
103,000063,中兴通讯,中兴通讯股份有限公司,b'NzU1NTMxMTA2MQ==',1
104,000063,中兴通讯,中兴通讯股份有限公司,b'NzkxMDcxMzMyNQ==',1
105,000063,中兴通讯,中兴通讯股份有限公司,b'ODUxMTM3MzU5OA==',1
106,000063,中兴通讯,中兴通讯股份有限公司,b'OTkxMDY1NzkxMw==',1
107,000063,中兴通讯,成都中邮高讯科技发展有限公司,b'MDI4Njc2NzA0Mw==',1
108,000063,中兴通讯,中兴通讯股份有限公司,b'NDcxMDgxNDQyOA==',1
109,000063,中兴通讯,中兴通讯股份有限公司,b'NTkxMjA4MTU1NQ==',1
110,000063,中兴通讯,中兴通讯股份有限公司,b'ODUxMTM3NDk3Ng==',1
111,000063,中兴通讯,中兴通讯股份有限公司驻拉萨办事处,b'ODkxMDA5ODgyMA==',1
112,000063,中兴通讯,中兴通讯股份有限公司,b'NzkxMDI3NjkwNw==',1
113,000063,中兴通讯,中兴通讯股份有限公司,b'NzkxMDMwMTgyNQ==',1
114,000063,中兴通讯,中兴通讯股份有限公司,b'ODUxMDYzNTEyOQ==',1
115,000063,中兴通讯,中兴通讯股份有限公司,b'ODUxMTM3MjYxMA==',1
116,000063,中兴通讯,中兴通讯股份有限公司长春办事处,b'NDMxMjY4OTg5Mw==',1
117,000063,中兴通讯,中兴通讯股份有限公司,b'MDI5NDU2NTcwNw==',1
118,000063,中兴通讯,中兴通讯股份有限公司,b'NzU1MTAzOTk4Ng==',1
119,000063,中兴通讯,中兴通讯股份有限公司,b'NzU1NzA1NDEwNQ==',1
120,000063,中兴通讯,中兴通讯股份有限公司,b'ODk4MDQ0OTI4OQ==',1
121,000063,中兴通讯,中兴通讯股份有限公司,b'MDI1NDM2MzE1MQ==',1
122,000063,中兴通讯,中兴通讯股份有限公司,b'MDI3NTgwNTI4OQ==',1
123,000063,中兴通讯,中兴通讯股份有限公司,b'MzcxMjAzNTM0NA==',1
124,000063,中兴通讯,中兴通讯股份有限公司,b'NTMxMzQ5MzY0Ng==',1
125,000063,中兴通讯,中兴通讯股份有限公司,b'NTcxMzIyMzk5MQ==',1
126,000063,中兴通讯,中兴通讯股份有限公司,b'NzMxMjAxNTQwNQ==',1
127,000063,中兴通讯,中兴通讯股份有限公司,b'NzU1MDk2ODYzNQ==',1
128,000063,中兴通讯,中兴通讯股份有限公司,b'OTUxMDM3NDQ2MQ==',1
129,000063,中兴通讯,中兴通讯股份有限公司,b'MDI3NTMwMzYyMw==',1
130,000063,中兴通讯,中兴通讯股份有限公司,b'NTMxMzQ5NzAxNw==',1
131,000063,中兴通讯,中兴通讯股份有限公司,b'NzU1MDA4NDMwNA==',1
132,000063,中兴通讯,长沙中兴软件有限责任公司,b'NzMxMTY3NjEyMQ==',1
133,000063,中兴通讯,中兴通讯股份有限公司,b'MDIwMjQzMjQ2MA==',1
134,000063,中兴通讯,中兴通讯股份有限公司,b'MDIxNDY1MzI2Mg==',1
135,000063,中兴通讯,中兴通讯股份有限公司,b'MDI5NDU2NTc0Nw==',1
136,000063,中兴通讯,中兴通讯股份有限公司,b'MzcxMjY1NzIyNg==',1
137,000063,中兴通讯,中兴通讯股份有限公司,b'NTUxMTQzMzcxMQ==',1
139,000066,中国长城,中国长城科技集团股份有限公司,b'NzU1MDA0OTExNw==',1
140,000066,中国长城,中国长城科技集团股份有限公司,b'NzMxMjAxMTE0Mw==',1
141,000066,中国长城,中国长城科技集团股份有限公司,b'NzU1MTI0OTU2Ng==',1
144,000070,特发信息,深圳市特发信息股份有限公司,b'NzU1NTk2OTA1Mw==',1
145,000070,特发信息,深圳市特发信息股份有限公司,b'NzU1Mjc1NDYwNQ==',1
146,000070,特发信息,深圳市特发信息股份有限公司,b'NzU1ODU4MzgyOQ==',1
147,000070,特发信息,深圳市特发信息股份有限公司,b'NzY5MDAzOTQ3NA==',1
148,000078,海王生物,深圳市海王生物工程股份有限公司,b'NzU1MDA3NDI2OA==',1
149,000078,海王生物,深圳市海王生物工程股份有限公司,b'NzU1MDA3NDExMA==',1
152,000090,天健集团,深圳市天健(集团)股份有限公司,b'NzU1MDA4OTg2Mg==',1
155,000100,TCL集团,深圳么么哒互联通信有限公司(四川分公司),b'MDI4NjIxMDM1OA==',1
156,000100,TCL集团,TCL集团股份有限公司,b'NDUxMjA3NDQ4NQ==',1
157,000100,TCL集团,南京TCL电器销售有限公司,b'MDI1MjcwNDIxOQ==',1
158,000100,TCL集团,TCL集团股份有限公司,b'MDEwNTY1MzU3NA==',1
159,000100,TCL集团,深圳么么哒互联通信有限公司(上海分公司),b'MDIxMzU5NTI4MQ==',1
160,000100,TCL集团,TCL集团股份有限公司,b'NzU1MjU1NDUxNw==',1
161,000100,TCL集团,深圳十分到家服务科技有限公司,b'NTMxMzQ5NDA0Nw==',1
162,000100,TCL集团,TCL多媒体海外业务中心,b'NzU1MjU1NDcwNw==',1
163,000100,TCL集团,TCL集团股份有限公司,b'NzUyMzQ5NjMyMw==',1
164,000100,TCL集团,TCL集团股份有限公司,b'NzU1MjU1NDU2Nw==',1
165,000100,TCL集团,深圳么么哒互联通信有限公司(广东分公司),b'NzU1MjU1NjA3NA==',1
166,000100,TCL集团,TCL集团股份有限公司,b'NzU1MjU1NDQ3OA==',1
167,000100,TCL集团,TCL集团股份有限公司（集团总部-惠州）,b'NDUxMzE3Njc0Mg==',1
168,000100,TCL集团,深圳么么哒互联通信有限公司(深圳分公司),b'NzU1NjM3NTIxMQ==',1
169,000100,TCL集团,深圳么么哒互联通信有限公司(福建分公司),b'NTkxNTIxODgwNQ==',1
172,000153,丰原药业,安徽丰原药业股份有限公司,b'OTkxMTE1OTg0Ng==',1
173,000155,川化股份,四川省新能源动力股份有限公司,b'MDI4Njc3Mjk4Nw==',1
175,000157,中联重科,中联重科股份有限公司,b'MDI5NDg3Njg4Ng==',1
176,000157,中联重科,中联重科股份有限公司,b'NDMxMjkyMzI5OQ==',1
177,000157,中联重科,中联重科股份有限公司,b'MDIzNTM3ODg0Ng==',1
