,Symbol,FullName,source,bill_code,customer_code.y,b.fullname,flag
0,000001,平安银行,1,b'MDEwMzEyODAwMw==',b'MDEwMzEyODAwMw==',平安银行股份有限公司,1
1,000001,平安银行,1,b'NzUyMjE0NzI1NQ==',b'NzUyMjE0NzI1NQ==',平安银行股份有限公司,1
2,000001,平安银行,1,b'NzU3MzkzMjMwMw==',b'NzU3MzkzMjMwMw==',平安银行股份有限公司,1
3,000001,平安银行,1,b'NzYwMzY1NzQxMw==',b'NzYwMzY1NzQxMw==',平安银行股份有限公司,1
4,000001,平安银行,1,b'MDIxMDE0NzM5MA==',b'MDIxMDE0NzM5MA==',平安银行股份有限公司,1
5,000001,平安银行,1,b'NzU2MDEwOTA3MA==',b'NzU2MDEwOTA3MA==',平安银行股份有限公司,1
6,000001,平安银行,3,b'NzU1MDA2NDAxOQ==',b'NzU1MDA2NDAxOQ==',平安银行股份有限公司,0
7,000001,平安银行,3,b'NzU1MDA2NDAxOQ==',b'NzU1MDExMjY4NA==',平安银行股份有限公司,1
8,000001,平安银行,1,b'NzU1MDA2NDAxOQ==',b'NzU1MDExMzgzNw==',平安银行股份有限公司,1
9,000001,平安银行,1,b'NzU1MzQxNzkyNQ==',b'NzU1MzQxNzkyNQ==',平安银行股份有限公司,1
10,000001,平安银行,1,b'MDIwNzMzODE5OA==',b'MDIwNzMzODE5OA==',平安银行股份有限公司,1
11,000001,平安银行,1,b'NzU1MDIzMjIzNg==',b'NzU1MDIzMjIzNg==',平安银行股份有限公司,1
12,000001,平安银行,1,b'NzU1NDA1NjkzMw==',b'NzU1NDA1NjkzMw==',平安银行股份有限公司,1
13,000001,平安银行,1,b'MDIxMDg4MDc5MQ==',b'MDIxMDg4MDc5MQ==',平安银行股份有限公司,1
14,000001,平安银行,1,b'NzU1MDIxMDY3OQ==',b'NzU1MDIxMDY3OQ==',平安银行股份有限公司,1
15,000001,平安银行,1,b'NzU1ODE1NTA1MQ==',b'NzU1ODE1NTA1MQ==',平安银行股份有限公司,1
16,000001,平安银行,1,b'NzU1MDQ4MjQ4OA==',b'NzU1MDQ4MjQ4OA==',平安银行股份有限公司,1
17,000001,平安银行,1,b'NzU1NTU5MjE0Ng==',b'NzU1NTU5MjE0Ng==',平安银行股份有限公司,1
18,000001,平安银行,1,b'MDIyMzI5NzgwMw==',b'MDIyMzI5NzgwMw==',平安银行股份有限公司,1
19,000001,平安银行,1,b'NDU0MDE4NzIwMw==',b'NDU0MDE4NzIwMw==',平安银行股份有限公司,1
20,000001,平安银行,1,b'NTc3NDIxMzYwMQ==',b'NTc3NDIxMzYwMQ==',平安银行股份有限公司,1
21,000001,平安银行,1,b'MDI4MjY1NDA0OQ==',b'MDI4MjY1NDA0OQ==',平安银行股份有限公司,1
22,000001,平安银行,1,b'NDExMjI2MTc4Mw==',b'NDExMjI2MTc4Mw==',平安银行股份有限公司,1
23,000007,全新好,1,b'NzU1MDAxNzAzNA==',b'NzU1MDAxNzAzNA==',深圳市全新好股份有限公司,1
24,000009,中国宝安,1,b'NzU1MjAyMTcwOA==',b'NzU1MjAyMTcwOA==',中国宝安集团股份有限公司,1
25,000012,南玻A,1,b'NzU1NTgwMTc1OQ==',b'NzU1NTgwMTc1OQ==',中国南玻集团股份有限公司,1
26,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'MDEwMDEwMjU5NA==',安微开开视界电子商务有限公司,1
27,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDEwMzI5OTM2OQ==',康佳集团股份有限公司深圳销售分公司,1
28,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI1MjE3MDgzMA==',康佳集团股份有限公司深圳销售分公司,1
29,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI1NTAzNTYwNg==',安徽开开视界电子商务有限公司,1
30,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI1NTA1Mjk5OQ==',安微开开视界电子商务有限公司,1
31,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI3NDAwOTY3OQ==',康佳集团股份有限公司深圳销售分公司,1
32,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI3NjY5MzQzNQ==',安微开开视界股份有限公司,1
33,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI4Mzg5ODY4MQ==',康佳集团股份有限公司深圳销售分公司,1
34,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'MDI4Njc3NTg3Ng==',安微开开视界电子商务有限公司,1
35,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NTM5MTgzNjcyNg==',康佳集团股份有限公司,1
36,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NTUwMDI1MDYwMA==',深圳市康佳壹视界商业显示有限公司,1
37,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NTUwMDI1MDYxNw==',康佳集团股份有限公司,1
38,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzU1MDEyMTk1NA==',深圳康佳电子科技有限公司,1
39,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MDAwNzQyOA==',深圳康佳电子科技有限公司,0
40,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MDAxNDUyNw==',深圳市康佳壹视界商业显示有限公司,1
41,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MDAxNDUzNA==',深圳市康佳商用系统科技有限公司,1
42,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MDAxNDUzNg==',康佳集团股份有限公司,1
43,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MDEwNzM4Nw==',深圳康佳电子科技有限公司,1
44,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5MTI2MjQ2Ng==',安徽开开视界电子商务有限公司,1
45,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5OTQ2MjA2OA==',康佳集团股份有限公司深圳销售分公司,1
46,000016,深康佳A,3,b'NzY5MDAwNzQyOA==',b'NzY5OTU3NDIxNQ==',康佳集团股份有限公司深圳销售分公司,1
47,000016,深康佳A,1,b'NzY5MDAzMTAwNA==',b'NzY5MDAzMTAwNA==',康佳集团股份有限公司,1
48,000019,深深宝A,1,b'NzU1MDA3OTExNw==',b'NzU1MDA3OTExNw==',深圳市深宝实业股份有限公司,1
49,000022,深赤湾A,1,b'NzU1MDAzOTE1OA==',b'NzU1MDAzOTE1OA==',招商局港口集团股份有限公司,1
50,000022,深赤湾A,1,b'NzU1MDAzNzQyNg==',b'NzU1MDAzNzQyNg==',招商局港口集团股份有限公司,1
51,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDEwMDAxOTYwNQ==',时悦汇精品(深圳)有限公司,1
52,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDEwMTkxNTYwMA==',飞亚达销售有限公司北京分公司,1
53,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDIwMDQxODY2OQ==',飞亚达销售有限公司广州分公司,1
54,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDIxMTY2MDQwOA==',飞亚达销售有限公司上海分公司,1
55,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDIyNDgyNTg2Mw==',飞亚达销售有限公司天津分公司,1
56,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDIzMzk2MjgwMQ==',飞亚达销售有限公司重庆分公司,1
57,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDI0MjM1ODM4Nw==',飞亚达销售有限公司沈阳分公司,1
58,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDI1MTk1OTYyMw==',飞亚达销售有限公司南京分公司,1
59,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDI4NTU2Mjc2MQ==',飞亚达销售有限公司成都分公司,1
60,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDI4Njc4NDQ4OQ==',飞亚达销售有限公司成都分公司,1
61,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MDI5NDAwNDE3NQ==',飞亚达销售有限公司西安分公司,1
62,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MzExMjk2OTM0Mw==',飞亚达销售有限公司石家庄分公司,1
63,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MzUxMTQ1NTAzOQ==',飞亚达销售有限公司太原分公司,1
64,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MzcxMTY0MzMyMw==',飞亚达销售有限公司郑州分公司,1
65,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'MzcxMjY1OTIwMQ==',飞亚达销售有限公司郑州分公司,1
66,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NDExMzM1ODg1Mg==',飞亚达销售有限公司,1
67,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NDUxMjA2MTQyNw==',飞亚达销售有限公司哈尔滨分公司,1
68,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NDcxMDE4MTE5Nw==',赵淑慧,1
69,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTMxMTEyNTI4OA==',飞亚达销售有限公司青岛分公司,1
70,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTMyMTE2NjU1Ng==',飞亚达销售有限公司青岛分公司,1
71,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTUxMTgzOTk2MQ==',飞亚达销售有限公司合肥分公司,1
72,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTcxMTAwMjA4Mw==',飞亚达销售有限公司杭州分公司,1
73,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTc0Mzg2ODcyNA==',飞亚达销售有限公司杭州分公司,1
74,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTc3NjUwMjM3MQ==',飞亚达销售有限公司杭州分公司,1
75,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTkxNDM0NDY3MQ==',飞亚达销售有限公司厦门分公司,1
76,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NTkyMjIyNDY2Nw==',飞亚达销售有限公司厦门分公司,1
77,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzMxMTAwMDAwMw==',飞亚达销售有限公司长沙分公司,1
78,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MDAwOTg0Mw==',飞亚达销售有限公司,1
79,000026,飞亚达A,1,b'NzU1NjAwODY5Mg==',b'NzU1MDAyNDA0NA==',飞亚达（集团）股份有限公司,1
80,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MDA0OTI0Mg==',深圳市亨吉利世界名表中心有限公司,1
81,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MDA2MTU3MQ==',深圳市飞亚达精密计时制造有限公司,1
82,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MDA2MTU3NA==',飞亚达(集团)股份有限公司,1
83,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MDA2MTU3Ng==',深圳市飞亚达精密计时制造有限公司,1
84,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MTgzNjg4MA==',深圳市飞亚达精密计时制造有限公司,1
85,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MTg1MTMwNg==',艾米龙时计(深圳)有限公司,1
86,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MjEzMTQzMw==',深圳市飞亚达科技发展有限公司,1
87,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MjIwNjAwOQ==',深圳市亨吉利世界名表中心有限公司,1
88,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MjMxOTIzOQ==',飞亚达销售有限公司华南分公司,1
89,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MjY1MDg2OA==',飞亚达销售有限公司,1
90,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MjY3MjYyMw==',时悦汇精品（深圳）有限公司,1
91,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1MzMxNjQ5Mg==',飞亚达销售有限公司,1
92,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjAwODY5Mg==',飞亚达(集团)股份有限公司,0
93,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjI5OTUyMw==',飞亚达销售有限公司,1
94,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDQ5MA==',飞亚达销售有限公司,1
95,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDUwMQ==',飞亚达销售有限公司,1
96,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDUzNg==',飞亚达销售有限公司,1
97,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU0OQ==',飞亚达销售有限公司,1
98,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU1Mg==',飞亚达销售有限公司,1
99,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU2MQ==',飞亚达销售有限公司,1
100,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU2Ng==',飞亚达销售有限公司,1
101,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU4NQ==',飞亚达销售有限公司,1
102,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDU5Mw==',飞亚达销售有限公司,1
103,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDYwNg==',飞亚达销售有限公司,1
104,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDYxMQ==',飞亚达销售有限公司,1
105,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDYyMQ==',飞亚达销售有限公司武汉分公司,1
106,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDYyOA==',飞亚达销售有限公司,1
107,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDYzNQ==',飞亚达销售有限公司,1
108,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDY0MQ==',飞亚达销售有限公司重庆分公司,1
109,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDY0OA==',飞亚达销售有限公司,1
110,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDY2MA==',飞亚达销售有限公司,1
111,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzU1NjQ2MDY3NQ==',深圳市飞亚达精密计时制造有限公司,1
112,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzcxMDUxMDg2OA==',飞亚达销售有限公司,1
113,000026,飞亚达A,3,b'NzU1NjAwODY5Mg==',b'NzkxMTA0MDI3Mg==',飞亚达销售有限公司南昌分公司,1
