,Symbol,FullName,source,bill_code,customer_code.y,b.fullname
0,000001,平安银行,1,b'MDEwMzEyODAwMw==',b'MDEwMzEyODAwMw==',平安银行股份有限公司
1,000001,平安银行,1,b'NzUyMjE0NzI1NQ==',b'NzUyMjE0NzI1NQ==',平安银行股份有限公司
2,000001,平安银行,1,b'NzU3MzkzMjMwMw==',b'NzU3MzkzMjMwMw==',平安银行股份有限公司
3,000001,平安银行,1,b'NzYwMzY1NzQxMw==',b'NzYwMzY1NzQxMw==',平安银行股份有限公司
4,000001,平安银行,1,b'MDIxMDE0NzM5MA==',b'MDIxMDE0NzM5MA==',平安银行股份有限公司
5,000001,平安银行,1,b'NzU2MDEwOTA3MA==',b'NzU2MDEwOTA3MA==',平安银行股份有限公司
6,000001,平安银行,1,b'NzU1MDA2NDAxOQ==',b'NzU1MDExMzgzNw==',平安银行股份有限公司
7,000001,平安银行,1,b'NzU1MzQxNzkyNQ==',b'NzU1MzQxNzkyNQ==',平安银行股份有限公司
8,000001,平安银行,1,b'MDIwNzMzODE5OA==',b'MDIwNzMzODE5OA==',平安银行股份有限公司
9,000001,平安银行,1,b'NzU1MDIzMjIzNg==',b'NzU1MDIzMjIzNg==',平安银行股份有限公司
10,000001,平安银行,1,b'NzU1NDA1NjkzMw==',b'NzU1NDA1NjkzMw==',平安银行股份有限公司
11,000001,平安银行,1,b'MDIxMDg4MDc5MQ==',b'MDIxMDg4MDc5MQ==',平安银行股份有限公司
12,000001,平安银行,1,b'NzU1MDIxMDY3OQ==',b'NzU1MDIxMDY3OQ==',平安银行股份有限公司
13,000001,平安银行,1,b'NzU1ODE1NTA1MQ==',b'NzU1ODE1NTA1MQ==',平安银行股份有限公司
14,000001,平安银行,1,b'NzU1MDA2NDAxOQ==',b'NzU1MDA2NDAxOQ==',平安银行股份有限公司
15,000001,平安银行,1,b'NzU1MDQ4MjQ4OA==',b'NzU1MDQ4MjQ4OA==',平安银行股份有限公司
16,000001,平安银行,1,b'NzU1NTU5MjE0Ng==',b'NzU1NTU5MjE0Ng==',平安银行股份有限公司
17,000001,平安银行,1,b'MDIyMzI5NzgwMw==',b'MDIyMzI5NzgwMw==',平安银行股份有限公司
18,000001,平安银行,1,b'NDU0MDE4NzIwMw==',b'NDU0MDE4NzIwMw==',平安银行股份有限公司
19,000001,平安银行,1,b'NTc3NDIxMzYwMQ==',b'NTc3NDIxMzYwMQ==',平安银行股份有限公司
20,000001,平安银行,1,b'NzU1MDA2NDAxOQ==',b'NzU1MDExMjY4NA==',平安银行股份有限公司
21,000001,平安银行,1,b'MDI4MjY1NDA0OQ==',b'MDI4MjY1NDA0OQ==',平安银行股份有限公司
22,000001,平安银行,1,b'NDExMjI2MTc4Mw==',b'NDExMjI2MTc4Mw==',平安银行股份有限公司
23,000007,全新好,1,b'NzU1MDAxNzAzNA==',b'NzU1MDAxNzAzNA==',深圳市全新好股份有限公司
24,000009,中国宝安,1,b'NzU1MjAyMTcwOA==',b'NzU1MjAyMTcwOA==',中国宝安集团股份有限公司
25,000012,南玻A,1,b'NzU1NTgwMTc1OQ==',b'NzU1NTgwMTc1OQ==',中国南玻集团股份有限公司
26,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'MDEwMDEwMjU5NA==',安微开开视界电子商务有限公司
27,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'MDI4Njc3NTg3Ng==',安微开开视界电子商务有限公司
28,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'NTUwMDI1MDYxNw==',康佳集团股份有限公司
29,000016,深康佳A,1,b'NzY5MDAzMTAwNA==',b'NzY5MDAzMTAwNA==',康佳集团股份有限公司
30,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'NzY5MDAxNDUzNg==',康佳集团股份有限公司
31,000016,深康佳A,1,b'NzY5MDAwNzQyOA==',b'NTM5MTgzNjcyNg==',康佳集团股份有限公司
32,000019,深深宝A,1,b'NzU1MDA3OTExNw==',b'NzU1MDA3OTExNw==',深圳市深宝实业股份有限公司
