"","Symbol","freq_bill_code","freq_customer_code","FullName"
"1","1",231,271,"平安银行股份有限公司"
"265","2",17,38,"万科企业股份有限公司"
"286","7",1,1,"深圳市全新好股份有限公司"
"288","9",19,23,"中国宝安集团股份有限公司"
"308","10",1,1,"深圳美丽生态股份有限公司"
"309","12",1,1,"中国南玻集团股份有限公司"
"311","14",2,2,"沙河实业股份有限公司"
"313","16",116,148,"康佳集团股份有限公司"
"358","16",116,148,"安微开开视界电子商务有限公司"
"452","18",9,9,"神州长城股份有限公司"
"461","19",2,2,"深圳市深宝实业股份有限公司"
"464","21",1,1,"深圳长城开发科技股份有限公司"
"466","22",2,2,"招商局港口集团股份有限公司"
"468","26",1,68,"飞亚达(集团)股份有限公司"
"472","27",477,1113,"深圳能源集团股份有限公司"
"956","28",1,1,"国药集团一致药业股份有限公司"
"958","30",5,5,"富奥汽车零部件股份有限公司"
"966","31",1,1,"中粮地产(集团)股份有限公司"
"968","32",1,1,"深圳市桑达实业股份有限公司"
"970","34",128,144,"神州数码集团股份有限公司"
"1111","35",2,2,"中国天楹股份有限公司"
"1114","36",3,3,"华联控股股份有限公司"
"1117","37",1,1,"深圳南山热电股份有限公司"
"1119","38",2,2,"深圳大通实业股份有限公司"
"1122","39",1,29,"深圳南方中集物流有限公司"
"1123","39",1,29,"中集海洋工程有限公司"
"1124","39",1,29,"中国国际海运集装箱(集团)股份有限公司"
"1125","39",1,29,"中集多式联运发展有限公司"
"1126","39",1,29,"深圳中集天达空港设备有限公司"
"1127","39",1,29,"中集管理培训(深圳)有限公司"
"1128","39",1,29,"中集现代物流发展有限公司"
"1129","39",1,29,"深圳中集专用车有限公司"
"1130","39",1,29,"中集安瑞科投资控股(深圳)有限公司"
"1131","39",1,29,"中集融资租赁有限公司"
"1132","39",1,29,"中集集团财务有限公司"
"1134","40",2,2,"东旭蓝天新能源股份有限公司"
"1138","43",1,1,"中航善达股份有限公司"
"1139","45",1,1,"深圳市纺织(集团)股份有限公司"
"1140","46",2,2,"泛海控股股份有限公司"
"1142","48",1,1,"深圳市康达尔(集团)股份有限公司"
"1143","50",1,16,"天马微电子股份有限公司"
"1145","50",1,16,"上海中航光电子有限公司"
"1150","55",2,3,"方大集团股份有限公司"
"1153","58",26,26,"深圳赛格股份有限公司"
"1180","59",1,1,"北方华锦化学工业股份有限公司"
"1182","60",2,2,"深圳市中金岭南有色金属股份有限公司"
"1185","61",87,92,"深圳市农产品股份有限公司"
"1277","62",1,1,"深圳华强实业股份有限公司"
"1279","63",49,137,"中兴通讯股份有限公司"
"1282","63",49,137,"中兴通讯股份有限公司长春办事处"
"1301","63",49,137,"中兴通讯股份有限公司驻拉萨办事处"
"1304","63",49,137,"成都中邮高讯科技发展有限公司"
"1388","65",3,3,"北方国际合作股份有限公司"
"1393","66",7,7,"中国长城科技集团股份有限公司"
"1402","68",2,2,"深圳华控赛格股份有限公司"
"1405","69",28,28,"深圳华侨城股份有限公司"
"1433","70",7,7,"深圳市特发信息股份有限公司"
"1443","78",2,2,"深圳市海王生物工程股份有限公司"
"1447","88",4,4,"深圳市盐田港股份有限公司"
"1451","89",24,25,"深圳市机场股份有限公司"
"1478","90",1,1,"深圳市天健(集团)股份有限公司"
"1480","99",2,2,"中信海洋直升机股份有限公司"
"1484","100",4,246,"TCL集团股份有限公司"
"1487","100",4,246,"深圳么么哒互联通信有限公司(深圳分公司)"
"1501","100",4,246,"深圳么么哒互联通信有限公司(广东分公司)"
"1503","100",4,246,"TCL多媒体海外业务中心"
"1507","151",9,9,"中成进出口股份有限公司"
"1517","153",2,2,"安徽丰原药业股份有限公司"
"1520","155",1,1,"四川省新能源动力股份有限公司"
"1521","157",125,239,"中联重科股份有限公司"
"1755","158",3,3,"石家庄常山北明科技股份有限公司"
"1761","159",1,1,"新疆国际实业股份有限公司"
"1762","166",104,104,"申万宏源集团股份有限公司"
"1868","301",1,1,"江苏东方盛虹股份有限公司"
"1869","333",5,306,"美的集团股份有限公司"
"1880","333",5,306,"美的安川服务机器人有限公司"
"1882","338",23,44,"潍柴动力股份有限公司"
"1924","400",18,18,"许继电气股份有限公司"
"1951","401",1,1,"唐山冀东水泥股份有限公司"
"1953","404",3,3,"长虹华意压缩机股份有限公司"
"1954","404",3,3,"华意压缩机股份有限公司"
"1958","407",1,1,"山东胜利股份有限公司"
"1960","409",10,11,"山东地矿股份有限公司"
"1971","410",48,48,"沈阳机床股份有限公司"
"2023","411",21,21,"浙江英特集团股份有限公司"
"2044","413",9,9,"东旭光电科技股份有限公司"
"2053","416",1,1,"民生控股股份有限公司"
"2055","418",22,326,"无锡小天鹅股份有限公司"
"2092","419",3,3,"长沙通程控股股份有限公司"
"2098","420",1,1,"吉林化纤股份有限公司"
"2100","421",2,2,"南京公用发展股份有限公司"
"2104","422",4,4,"湖北宜化化工股份有限公司"
"2110","423",30,45,"东阿阿胶股份有限公司"
"2168","425",4,4,"徐工集团工程机械股份有限公司"
"2174","428",1,1,"华天酒店集团股份有限公司"
"2176","429",1,1,"广东省高速公路发展股份有限公司"
"2178","430",2,2,"张家界旅游集团股份有限公司"
"2180","488",89,106,"山东晨鸣纸业集团股份有限公司"
"2289","498",15,15,"山东高速路桥集团股份有限公司"
"2304","501",1,1,"武汉武商集团股份有限公司"
"2305","502",1,1,"绿景控股股份有限公司"
"2306","506",1,1,"中润资源投资股份有限公司"
"2308","507",35,97,"珠海港股份有限公司"
"2343","510",1,1,"四川金路集团股份有限公司"
"2345","511",1,1,"银基烯碳新材料集团股份有限公司"
"2347","513",16,17,"丽珠医药集团股份有限公司"
"2377","514",10,10,"重庆渝开发股份有限公司"
"2387","517",2,2,"荣安地产股份有限公司"
"2390","518",1,1,"江苏四环生物股份有限公司"
"2391","520",3,3,"长航凤凰股份有限公司"
"2394","521",4,5,"合肥美菱股份有限公司"
"2396","521",4,5,"长虹美菱股份有限公司"
"2397","521",4,5,"合肥美菱股份有限公司-郑曼"
"2400","522",1,1,"广州白云山制药股份有限公司"
"2401","524",3,3,"广州岭南集团控股股份有限公司"
"2407","525",1,3,"南京红太阳股份有限公司"
"2409","528",37,95,"广西柳工机械股份有限公司"
"2426","528",37,95,"柳工国际营销事业部--配件部(蚌埠库)"
"2460","528",37,95,"山东柳工叉车有限公司--综合管理科"
"2488","529",2,1027,"广东广弘控股股份有限公司"
"2490","530",3,3,"大连冷冻机股份有限公司"
"2495","531",2,2,"广州恒运企业集团股份有限公司"
"2499","532",1,1,"珠海华金资本股份有限公司"
"2501","533",1,1,"广东顺钠电气股份有限公司"
"2502","536",1,1,"华映科技(集团)股份有限公司"
"2504","538",8,10,"云南白药集团股份有限公司"
"2520","539",1,1,"广东电力发展股份有限公司"
"2522","540",1,1,"中天城投集团股份有限公司"
"2523","541",5,13,"佛山电器照明股份有限公司"
"2540","543",4,4,"安徽省皖能股份有限公司"
"2544","544",3,3,"中原环保股份有限公司"
"2547","546",1,1,"金圆环保股份有限公司"
"2548","547",1,1,"航天工业发展股份有限公司"
"2550","548",71,72,"湖南投资集团股份有限公司"
"2622","550",72,119,"江铃汽车股份有限公司"
"2696","551",38,38,"创元科技股份有限公司"
"2735","553",1,1,"安道麦股份有限公司"
"2736","554",1,1,"中国石化山东泰山石油股份有限公司"
"2738","555",2,14,"神州数码信息服务股份有限公司"
"2742","558",4,4,"莱茵达体育发展股份有限公司"
"2747","559",6,6,"万向钱潮股份有限公司"
"2756","561",8,8,"陕西烽火电子股份有限公司"
"2767","562",24,30,"宏源证券股份有限公司"
"2797","563",18,18,"陕西省国际信托股份有限公司"
"2830","564",1,1,"供销大集集团股份有限公司"
"2831","565",4,4,"重庆三峡油漆股份有限公司"
"2838","566",141,184,"海南海药股份有限公司"
"3006","567",4,4,"海南海德实业股份有限公司"
"3010","568",55,1029,"泸州老窖股份有限公司"
"3074","570",3,3,"常柴股份有限公司"
"3079","571",1,1,"新大洲控股股份有限公司"
"3081","572",20,20,"海马汽车集团股份有限公司"
"3101","576",1,1,"江门甘蔗化工厂(集团)股份有限公司"
"3103","581",11,13,"无锡威孚高科技集团股份有限公司"
"3119","582",8,8,"北部湾港股份有限公司"
"3127","584",1,1,"江苏哈工智能机器人股份有限公司"
